,ProofType,Algorithm,CoinName,PC 1,PC 2,PC 3,class
BENJI,PoW,Scrypt,BenjiRolls,-0.1611364464981096,-1.0762048229769614,0.011932777348215,1
GRW,PoS,Scrypt,GrowthCoin,-0.26102075275063996,0.7969986822052224,-0.08593919194560612,0
ILC,PoW,SHA-256,ILCoin,-0.1105238826215209,-1.3377790434193413,0.056667708781384725,1
PHR,PoS,PoS,Phreak,-0.32763494084828054,1.3765293590533578,-0.13119020213701207,0
DEA,PoW/PoS,Scrypt,Degas Coin,-0.3257607611868505,1.1355589090427292,-0.1619455288103678,0
HTML5,PoW/PoS,X15,HTML5 Coin,0.9451306298338131,1.9499555353378293,-0.189239315834169,0
USC,PoS,SHA-256,Ultimate Secure Cash,-0.2620110274269998,0.5366798961599093,-0.04059086215618743,0
EQT,PoW,Scrypt,EquiTrader,-0.1609515429927018,-1.0762244028100783,0.011933257358363572,1
QTUM,PoS,POS 3.0,QTUM,-0.341087962291713,1.3649992222683707,-0.050744178562265096,0
QRL,PoW,CryptoNight-V7,Quantum Resistant Ledger,-0.1420293658811007,-2.2370522588947903,0.10759258194476772,1
ESP,PoW/PoS,536,Espers,0.6190415119093952,1.980944713646231,-0.2103127155137703,0
DYN,PoW,Argon2d,Dynamic,-0.1753914633551079,-2.297950501500405,0.17297930602197686,1
NANO,PoW,Blake2b,Nano,-0.03419521423672905,-2.2737348779051074,0.19953484247181208,1
CHAN,PoW,Cloverhash,ChanCoin,-0.1192798808235434,-2.294506336144509,0.017982516974290926,1
DCY,PoW,CryptoNight,Dinastycoin,0.3401023085834135,-2.3477221090341387,0.13370802634666054,1
DNR,PoW/PoS,NIST5,Denarius,-0.35647773654029846,1.5752213283766086,-0.18214089408301726,0
DP,PoW,X11,DigitalPrice,-0.2086269292883815,-0.9161728040677634,-0.009872858110013259,1
VUC,PoW/PoS,NIST5,Virta Unique Coin,-0.3549179053717383,1.575196826934755,-0.18216182345588444,0
BTPL,PoW/PoS,Skein,Bitcoin Planet,-0.4106593884000647,1.9521386156760916,-0.2235352212815175,0
UNIFY,PoW,Scrypt,Unify,-0.16128352965748,-1.0761983358106015,0.011934009205493899,1
BRIT,PoW/PoS,X13,BritCoin,-0.274800948089604,1.8490449731284733,-0.18888804567445622,0
SOCC,PoW,Scrypt,SocialCoin,-0.1610377697055723,-1.0762295084690756,0.011935561418218112,1
ARC,PoW,X11,ArcticCoin,-0.20903778024525702,-0.9161585061432441,-0.009868738326285558,1
DAS,PoW,X11,DAS,-0.20963919599684713,-0.9161499926955677,-0.009860502952125682,1
LINDA,PoW/PoS,Scrypt,Linda,0.15712874253521783,1.1167041425877178,-0.16642369109229052,0
XLC,PoW,CryptoNight,LeviarCoin,0.3028822250180604,-2.347620350489151,0.13429317908435803,1
ONION,PoW/PoS,X13,DeepOnion,-0.2748745500721404,1.8490503346252254,-0.18888780483712214,0
BTX,PoW,Time Travel,Bitcore,-0.13188697137980604,-2.2172084374417205,0.06370187322406244,1
GCN,PoW,Scrypt,gCn Coin,3.390299329593149,-1.0960750677081146,-0.04209664834903287,1
SMART,PoW,Keccak,SmartCash,-0.1321485485406872,-1.2701218417469728,0.018621561952384638,1
SIGT,PoS,SkunkHash v2 Raptor,Signatum,-0.33978724125741366,1.393249058917467,-0.03722556279125934,0
ONX,PoW,X11,Onix,-0.2001400582368609,-0.916591744195251,-0.009936014175675831,1
CRM,PoW/PoS,Skein,Cream,-0.4101431262447892,1.9521564065015098,-0.2235467473356534,0
BCH,PoW,SHA-256,Bitcoin Cash,-0.1453618334197053,-1.3372160158305244,0.05713234869143281,1
XMCC,PoW/PoS,X11,Monoeci,-0.3747322298061648,1.2956536970247148,-0.18373830777783667,0
DFT,PoS,Scrypt,Draftcoin,-0.27916291112070657,0.7977839152244328,-0.08578459504647754,0
VET,Proof of Authority,VeChainThor Authority,Vechain,4.519703344190003,2.492050304579673,14.253096508651243,3
SOJ,PoW,Scrypt,Sojourn Coin,-0.08422007310458972,-1.080998701452575,0.011537434137737097,1
STCN,PoS,PoS,Stakecoin,-0.32749605341845894,1.3765116648635638,-0.1311893111764527,0
NYC,PoW,Scrypt,NewYorkCoin,1.660045625951615,-1.0134200970352298,-0.02873136858717721,1
FRAZ,PoW,Scrypt,FrazCoin,-0.16138557200834164,-1.076202366763261,0.011936378755868442,1
KRONE,PoW,Scrypt,Kronecoin,-0.16081489487200443,-1.0762282306591917,0.011931722415224055,1
ACC,PoW,Scrypt,AdCoin,-0.16050336860574255,-1.0762288776804192,0.011926788433900885,1
LINX,PoW,Scrypt,Linx,-0.16048974093438323,-1.0762284080594726,0.0119264841828993,1
XCXT,PoW/PoS,Scrypt,CoinonatX,-0.32620241314774734,1.1355840601464626,-0.16194283699804363,0
ETHD,PoW/PoS,Scrypt,Ethereum Dark,-0.32672267155655305,1.1355974704109755,-0.16193678644169085,0
SUMO,PoW,CryptoNight,Sumokoin,0.3030730734227483,-2.3476385938159203,0.13429332542760966,1
ODN,PoS,SHA-512,Obsidian,-0.33240910203389185,0.9900530094762695,-0.03393870145673941,0
ADA,PoS,Ouroboros,Cardano,0.7331848388181139,1.396393766075307,-0.03595009653892381,0
REC,PoW/PoS,X11,Regalcoin,-0.37467083460619877,1.2956433683432826,-0.1837374687762384,0
BTCZ,PoW,Equihash,BitcoinZ,0.05805306492803721,-2.130737245564455,0.17875171000995144,1
TZC,PoW/PoS,NeoScrypt,TrezarCoin,-0.3429238066543429,0.5805883913693101,-0.11126307461847099,0
ELM,PoW,X11,Elements,-0.1621076456069943,-0.9157790988231191,-0.010696699631415882,1
